names,scores,logfoldchanges,pvals,pvals_adj,significant
fne,11.493164,0.34059903,1.4278472501753798e-30,7.595916140609105e-29,False
ct,11.43794,0.53961724,2.7022606960500598e-30,1.4317623204071687e-28,False
Tm1,11.42668,0.5031932,3.076499648172177e-30,1.623502223975197e-28,False
CG33181,11.3866625,0.5044121,4.872983412614133e-30,2.5612400816699886e-28,False
Tlk,11.339725,0.4818813,8.340682846744642e-30,4.3663973149890275e-28,False
Galphao,11.314064,0.45309392,1.1178861055917735e-29,5.828977550585676e-28,False
fok,11.293823,0.55154943,1.407771323396033e-29,7.311507980009436e-28,False
Ptp99A,11.288323,0.47754893,1.498673794811234e-29,7.752981757409297e-28,False
beat-IIIc,11.26368,0.6286855,1.983000493796092e-29,1.0218284897443393e-27,False
dally,11.2411375,0.5603033,2.560620229005852e-29,1.3143183519194098e-27,False
CG31650,11.20618,0.68707186,3.8025250122313656e-29,1.9441703759035076e-27,False
Ptp36E,11.141121,0.65494114,7.911702248153088e-29,4.0294483542919214e-27,False
side-VIII,11.076644,0.6913353,1.628628013272667e-28,8.262614708263646e-27,False
yrt,11.073213,0.7309386,1.6922330279880832e-28,8.552285379909006e-27,False
CG44422,11.024492,0.53367704,2.9115639154760584e-28,1.4546748992150344e-26,False
Nup153,11.014805,0.5634788,3.2423839635904523e-28,1.6138229273325206e-26,False
mRpL33,11.010174,1.0091951,3.4134635333844187e-28,1.6925626727800477e-26,True
Obp44a,11.004754,0.6414215,3.625020228361115e-28,1.7907054812280093e-26,False
RhoGAP19D,10.997605,0.46416804,3.92415008960638e-28,1.931210942974825e-26,False
CG18467,10.976116,1.1730255,4.978705223700584e-28,2.4410517402770775e-26,True
Pdk1,10.97337,0.64405155,5.132355576509137e-28,2.5070316830977716e-26,False
CG6966,10.855082,0.56923914,1.886374444297604e-27,9.180355628915006e-26,False
mamo,10.771169,0.48281747,4.709859325582879e-27,2.283673488492953e-25,False
dlg1,10.7558,0.45529705,5.564896388321302e-27,2.6883359758287466e-25,False
Prp4k,10.750619,0.7712459,5.886514346473393e-27,2.8332893228080724e-25,False
mbt,10.74254,0.5301588,6.425157848002533e-27,3.081261829297565e-25,False
